id_product;name_of_product;price;id_category;quantity_at_storage
1;Ноутбук Lenovo;65000;1;5
2;Монитор Samsung 24;15490;1;8
3;Мышь Logitech;1490;1;25
4;Клавиатура A4Tech;1890;1;15
5;Флешка Kingston 64GB;790;1;30
6;Наушники JBL;3490;1;12
7;Колонки Defender;1590;1;10
8;Веб-камера Logitech;2890;1;7
9;Роутер TP-Link;3290;1;9
10;Принтер HP;14690;1;4
11;SSD Kingston 500GB;4290;1;10
12;HDD WD 1TB;4990;1;6
13;Планшет Samsung;23990;1;5
14;Смартфон Xiaomi;18990;1;6
15;Зарядное устройство;990;1;20
16;Электрочайник Tefal;3290;2;7
17;Микроволновая печь Samsung;8990;2;4
18;Блендер Bosch;3790;2;6
19;Утюг Philips;4590;2;9
20;Тостер Kitfort;2490;2;8
21;Пылесос Samsung;9990;2;3
22;Мультиварка Redmond;6490;2;5
23;Фен Rowenta;1990;2;10
24;Весы кухонные Polaris;1290;2;12
25;Кофеварка Vitek;2990;2;6
26;Вентилятор Scarlett;2390;2;7
27;Обогреватель Ballu;5590;2;4
28;Мини-печь BBK;7590;2;3
29;Соковыжималка Kitfort;5890;2;4
30;Пароварка Endever;3490;2;5
31;Тетрадь 48 листов;120;3;80
32;Ручка синяя;35;3;150
33;Карандаш простой;25;3;120
34;Бумага А4 500 листов;420;3;35
35;Папка на молнии А4;140;3;40
36;Ластик Milan;30;3;70
37;Линейка 30 см;45;3;60
38;Маркер желтый;65;3;55
39;Степлер номер 10;190;3;25
40;Скобы номер 10;40;3;90
41;Клей-карандаш;55;3;65
42;Блокнот А5;160;3;45
43;Стикеры 76x76;95;3;50
44;Ножницы канцелярские;180;3;30
45;Файл-вкладыш А4;230;3;22
